description,category
bus booking to work,Transport
new backpack shopping,Shopping
pen for english,Study
bought calculator,Study
suv maintenance,Transport
new watch shopping,Shopping
airline parking,Transport
bought necklace from shopee,Shopping
bought game from shopee,Shopping
ordered juice meeting,Food
bought coat from store,Shopping
gojek ride to station,Transport
bibimbap at phuc long,Food
bought pants from adidas,Shopping
bought body wash from supermarket,Shopping
banh mi at eatery,Food
art subscription,Study
new purse shopping,Shopping
gojek journey to station,Transport
metro toll,Transport
bought ruler,Study
uber trip to mall,Transport
plane journey to office,Transport
motorbike rental to station,Transport
bought sweater from mall,Shopping
flight maintenance,Transport
icloud subscription,Others
lesson for business,Study
fitness subscription,Others
mai linh tire change,Transport
new blazer shopping,Shopping
electricity bill,Others
concert ticket for coldplay,Others
insurance bill,Others
beer at subway,Food
gym subscription,Others
new dress shopping,Shopping
spotify subscription,Others
airline cleaning,Transport
water bill,Others
loan bill,Others
yoga subscription,Others
motorbike repair,Transport
gas for cab,Transport
plane booking to school,Transport
ordered whisky meeting,Food
pay electricity bill,Others
ticket ticket,Others
bought duolingo,Study
fish at street food,Food
lyft ride to concert,Transport
new body wash shopping,Shopping
bought case from shopee,Shopping
new wallet shopping,Shopping
spotify subscription,Others
toefl for python,Study
bought sashimi alone,Food
skillshare annual plan,Study
bought book,Study
bought monitor from tiki,Shopping
workshop for data science,Study
tax bill,Others
tv bill,Others
diary for programming,Study
duolingo for data science,Study
new ring shopping,Shopping
cold brew at supermarket,Food
bought cap from zara,Shopping
drank tteokbokki for breakfast,Food
cable bill,Others
suv rental to station,Transport
bought textbook,Study
bill for ice cream meeting,Food
drank ice cream for breakfast,Food
art school fee,Study
gym subscription,Others
bought planner,Study
noodles at jollibee,Food
garden maintenance fee,Others
bus wash,Transport
charging for motorbike,Transport
banh cuon at circle k,Food
bought dictionary,Study
fruits at the coffee house,Food
train trip to downtown,Transport
bought suit from uniqlo,Shopping
newspaper subscription,Others
bought diary,Study
taxi journey to work,Transport
oil for sedan,Transport
yoga subscription,Others
bought class,Study
soju at dominos,Food
bought hoodie from amazon,Shopping
music test fee,Study
subway booking to airport,Transport
math printing,Study
bought jeans from h&m,Shopping
google drive subscription,Others
bought cream from gucci,Shopping
bagel at mcdonalds,Food
fuel for metro,Transport
new slippers shopping,Shopping
bought seminar,Study
notebook for design,Study
toefl for music,Study
fruits at bistro,Food
ate pho meeting,Food
udon at cafe,Food
bun cha at mcdonalds,Food
bought ielts,Study
be maintenance,Transport
tax bill,Others
book for programming,Study
paid for bun cha meeting,Food
theater ticket,Others
newspaper subscription,Others
bought shorts from shopee,Shopping
plane fare to school,Transport
new smartphone shopping,Shopping
english tuition,Study
diesel for plane,Transport
music printing,Study
bought power bank from mall,Shopping
gas for metro,Transport
newspaper subscription,Others
bought book,Study
had com tam alone,Food
maintenance fee,Others
drank seafood alone,Food
grab trip to home,Transport
sushi at highlands,Food
bought flower from amazon,Shopping
bill for donut alone,Food
enjoyed rice with friends,Food
bill for xoi for breakfast,Food
fitness subscription,Others
bought espresso with family,Food
bought novel,Study
haircut fee,Others
cake at cafe,Food
bike oil change,Transport
zoo ticket,Others
new cream shopping,Shopping
bought steak with family,Food
gojek service,Transport
new razor shopping,Shopping
paid for pasta delivery,Food
new beanie shopping,Shopping
subway oil change,Transport
art test fee,Study
bill for fish alone,Food
bought watch from nike,Shopping
new tie shopping,Shopping
game ticket,Others
cake at kfc,Food
new ring shopping,Shopping
coursera for art,Study
diesel for be,Transport
rent bill,Others
paid for latte for breakfast,Food
bought conditioner from zara,Shopping
bought skirt from zara,Shopping
comic for marketing,Study
bought seminar,Study
new smartphone shopping,Shopping
science printing,Study
bought pencil,Study
concert ticket,Others
burger king cheese burger,Food
novel for python,Study
charging for plane,Transport
had cold brew for dinner,Food
music subscription,Study
rent bill,Others
new conditioner shopping,Shopping
duolingo for coding,Study
insurance bill,Others
flight ticket to airport,Transport
electricity bill,Others
new shoes shopping,Shopping
google drive subscription,Others
magazine subscription,Others
pepsi at lotte,Food
bought suitcase from zara,Shopping
mobile bill,Others
webinar for science,Study
wifi bill,Others
be service,Transport
bought planner,Study
notebook for science,Study
new jeans shopping,Shopping
barber fee,Others
bought ruler,Study
had soju party,Food
ice cream at texas chicken,Food
paid for bibimbap for lunch,Food
science school fee,Study
charging for motorbike,Transport
airline tire change,Transport
bought slippers from adidas,Shopping
math photocopy,Study
gas for subway,Transport
edx for math,Study
bought earrings from gucci,Shopping
laundry fee,Others
cold brew at supermarket,Food
dim sum at subway,Food
be rental to home,Transport
new power bank shopping,Shopping
subway ride to work,Transport
new sneakers shopping,Shopping
subway booking to mall,Transport
bought charger from mall,Shopping
enjoyed cappuccino takeout,Food
water bill,Others
udemy for design,Study
paid for fried chicken for dinner,Food
vinasun tire change,Transport
book for coding,Study
bus rental to station,Transport
drank udon for dinner,Food
paid for banh mi with friends,Food
haircut fee,Others
bought hoodie from chanel,Shopping
petrol for scooter,Transport
metro tire change,Transport
bought book from h&m,Shopping
spa fee,Others
bought laptop from market,Shopping
seminar for music,Study
car fare to airport,Transport
new socks shopping,Shopping
rice at starbucks,Food
boba tea at dominos,Food
paid for burger with family,Food
scooter rental to airport,Transport
magazine subscription,Others
bought shampoo from store,Shopping
suv ticket to mall,Transport
bought earphones from market,Shopping
bill for cold brew delivery,Food
fitness subscription,Others
premium car wash,Transport
bought laptop from chanel,Shopping
pencil for business,Study
oil for mai linh,Transport
pharmacy fee,Others
music subscription,Study
new case shopping,Shopping
dictionary for art,Study
bought book,Study
apple music subscription,Others
training for music,Study
lottery ticket purchase,Others
banh mi at circle k,Food
pencil for math,Study
zoo ticket,Others
python tuition,Study
enjoyed coke for lunch,Food
bought training,Study
ordered burger with family,Food
enjoyed com tam meeting,Food
oil for gojek,Transport
bought toy from mall,Shopping
coding exam fee,Study
oil for train,Transport
oil for scooter,Transport
petrol for car,Transport
bought ruler,Study
sedan tire change,Transport
new speaker shopping,Shopping
textbook for business,Study
new bag shopping,Shopping
english photocopy,Study
bought necklace from adidas,Shopping
oil for metro,Transport
dinner at sushi bar,Food
concert ticket,Others
newspaper subscription,Others
ordered kimbap takeout,Food
bought tie from chanel,Shopping
flight maintenance,Transport
bill for cake takeout,Food
grab trip to airport,Transport
gas bill,Others
bought pen from shopee,Shopping
bought duolingo,Study
bought wallet from store,Shopping
uber ticket to home,Transport
phone bill,Others
paid for pizza takeout,Food
bill for juice with family,Food
ordered americano snack,Food
new mouse shopping,Shopping
scooter ticket to work,Transport
bill for pho for lunch,Food
marketing test fee,Study
espresso at supermarket,Food
python bootcamp tuition,Study
python certification fee,Study
planner for design,Study
paid for bagel for dinner,Food
water bill,Others
taxi trip trip,Transport
vinasun repair,Transport
new bracelet shopping,Shopping
enjoyed pizza with family,Food
gas for be,Transport
eraser for python,Study
planner for data science,Study
bought pencil,Study
zoo ticket,Others
new pants shopping,Shopping
eraser for python,Study
ice cream at starbucks,Food
gojek trip to mall,Transport
sashimi at restaurant,Food
newspaper subscription,Others
bought dictionary,Study
bought skirt from market,Shopping
drank cappuccino party,Food
bought magazine,Study
enjoyed donut meeting,Food
bought charger from h&m,Shopping
new ring shopping,Shopping
suv service,Transport
paid for cocktail snack,Food
be tire change,Transport
english membership,Study
icloud subscription,Others
tips for hotel staff,Others
webinar for data science,Study
ate rice for lunch,Food
bought beanie from lazada,Shopping
data science tuition,Study
taxi cleaning,Transport
bought paper from shopee,Shopping
python membership,Study
notebook for programming,Study
cable bill,Others
bought dumplings snack,Food
calculator for python,Study
metro wash,Transport
americano at starbucks,Food
new watch shopping,Shopping
bought shoes from gucci,Shopping
new earrings shopping,Shopping
google drive subscription,Others
salon fee,Others
smoothie at phuc long,Food
be maintenance,Transport
bought book,Study
bought planner,Study
newspaper subscription,Others
milk tea at diner,Food
new shirt shopping,Shopping
fuel for subway,Transport
new headphones shopping,Shopping
gojek fare to downtown,Transport
bought edx,Study
vending machine snacks,Food
coding printing,Study
data science photocopy,Study
diesel for airline,Transport
coursera for music,Study
cable bill,Others
bun bo hue at highlands,Food
bought planner,Study
uber trip to home,Transport
gas for bus,Transport
bought makeup from shopee,Shopping
edx for programming,Study
math tuition,Study
mai linh wash,Transport
highlighter for music,Study
dumplings at convenience store,Food
birthday gift for mom,Others
new cap shopping,Shopping
paid for coke meeting,Food
new cream shopping,Shopping
charging for gojek,Transport
uber ride to home,Transport
cycling gear and lights,Transport
oil for mai linh,Transport
tv bill,Others
cappuccino at highlands,Food
ordered latte snack,Food
gym subscription,Others
new razor shopping,Shopping
bought diary,Study
cab trip to station,Transport
enjoyed pasta for lunch,Food
bought sandals from gucci,Shopping
ordered banh mi for lunch,Food
taxi repair,Transport
bill for banh cuon party,Food
bought cold brew with family,Food
had cookie for breakfast,Food
drank eggs delivery,Food
new speaker shopping,Shopping
banh mi at 7-eleven,Food
new sneakers shopping,Shopping
data science certification fee,Study
english membership,Study
bought cologne from store,Shopping
pho at winmart,Food
credit card annual fee,Others
math subscription,Study
new book shopping,Shopping
design photocopy,Study
juice at cafe,Food
programming printing,Study
course for coding,Study
coffee at family mart,Food
bought mouse from nike,Shopping
bought dress from shop,Shopping
new pants shopping,Shopping
grab booking to home,Transport
planner for programming,Study
new hoodie shopping,Shopping
ate bun cha delivery,Food
cable bill,Others
karaoke ticket,Others
be journey to home,Transport
oil for taxi,Transport
diesel for train,Transport
pho at diner,Food
vinasun rental to school,Transport
macchiato at starbucks,Food
data science school fee,Study
sedan oil change,Transport
bought eraser,Study
bought jeans from shop,Shopping
airline seat upgrade,Transport
paid for vegetables snack,Food
soda at supermarket,Food
oil for train,Transport
buying coffee,Food
notebook for music,Study
pharmacy fee,Others
enjoyed yogurt with family,Food
new tablet shopping,Shopping
water bill,Others
taxi oil change,Transport
bought textbook,Study
new gloves shopping,Shopping
new cable shopping,Shopping
seafood at restaurant,Food
water bill,Others
icloud subscription,Others
new soap shopping,Shopping
novel for design,Study
bought earrings from shopee,Shopping
car oil change,Transport
soju at subway,Food
subway journey to station,Transport
new blouse shopping,Shopping
notebook for class,Study
scented candles for room,Shopping
americano at dominos,Food
datacamp for english,Study
bought sushi delivery,Food
bought edx,Study
donuts for the office,Food
phone bill,Others
bought training,Study
programming school fee,Study
yoga subscription,Others
marketing printing,Study
mai linh cleaning,Transport
programming exam fee,Study
coding exam fee,Study
bought eraser,Study
bought dress from amazon,Shopping
bought earrings from mall,Shopping
science printing,Study
match ticket,Others
grab ride trip,Transport
enjoyed americano for breakfast,Food
petrol for uber,Transport
programming subscription,Study
haircut fee,Others
cab fare to work,Transport
new socks shopping,Shopping
water bill,Others
gas for subway,Transport
espresso at highlands,Food
bought dress from mall,Shopping
new bracelet shopping,Shopping
english printing,Study
bought class,Study
new glasses shopping,Shopping
bill for seafood alone,Food
petrol for metro,Transport
bill for sashimi for lunch,Food
museum ticket,Others
rent bill,Others
new power bank shopping,Shopping
youtube subscription,Others
pho noodle soup at restaurant,Food
bought shirt from nike,Shopping
bought book,Study
sedan fare to airport,Transport
cable bill,Others
bought boots from market,Shopping
airline oil change,Transport
paid for cake with friends,Food
oil for scooter,Transport
be cleaning,Transport
new perfume shopping,Shopping
dictionary for coding,Study
cinema ticket,Others
paid for pasta party,Food
bought pencil,Study
bought espresso with family,Food
marketing tuition,Study
had ramen delivery,Food
coursera for marketing,Study
beer at convenience store,Food
bought course,Study
ate cake with friends,Food
dictionary for english,Study
loan bill,Others
art photocopy,Study
mortgage bill,Others
new conditioner shopping,Shopping
water bill,Others
bill for eggs alone,Food
bowling ticket,Others
apple music subscription,Others
gojek ride to work,Transport
gas for flight,Transport
bought training,Study
ordered pasta meeting,Food
plane booking to downtown,Transport
oil for cab,Transport
new flower shopping,Shopping
scooter ticket to office,Transport
cable bill,Others
bought beanie from amazon,Shopping
pedicure fee,Others
bought noodles meeting,Food
wine at dominos,Food
math school fee,Study
billiards ticket,Others
takeout chinese food,Food
newspaper subscription,Others
had smoothie for dinner,Food
coursera for design,Study
bought calculator,Study
vinasun journey to school,Transport
bagel at circle k,Food
bought heels from uniqlo,Shopping
petrol for cab,Transport
suv wash,Transport
smoothie at highlands,Food
tempura at jollibee,Food
drank yogurt with family,Food
programming tuition,Study
suv fare to airport,Transport
new coat shopping,Shopping
unipro clothing line,Shopping
bought blouse from supermarket,Shopping
bus maintenance,Transport
bought wallet from tiki,Shopping
paid for yogurt for dinner,Food
ramen dinner with friends,Food
toefl for music,Study
metro repair,Transport
gym subscription,Others
cake at pizza hut,Food
oil for be,Transport
paid for coffee for lunch,Food
electricity bill,Others
ordered coke alone,Food
new book shopping,Shopping
charging for bus,Transport
paid for steak takeout,Food
math membership,Study
bought class,Study
ordered sushi for lunch,Food
bill for seafood takeout,Food
drank seafood party,Food
bought latte party,Food
textbook for math,Study
new ring shopping,Shopping
donut at circle k,Food
vinasun maintenance,Transport
mobile bill,Others
milk at lotte,Food
marker for data science,Study
novel for english,Study
bought tie from amazon,Shopping
music subscription,Study
bought diary,Study
bought class,Study
iphone case and protector,Shopping
youtube subscription,Others
new conditioner shopping,Shopping
soju at cafe,Food
new necklace shopping,Shopping
bought novel,Study
bill for espresso takeout,Food
be ticket to school,Transport
planner for programming,Study
dim sum at pizza hut,Food
yoga subscription,Others
music tuition,Study
tteokbokki at diner,Food
new notebook shopping,Shopping
book for science,Study
had croissant for breakfast,Food
had ramen for lunch,Food
mai linh ride to downtown,Transport
billiards ticket,Others
mortgage bill,Others
new pen shopping,Shopping
internet bill,Others
ordered ramen with family,Food
udemy web development course,Study
bought ruler,Study
bought gift from shopee,Shopping
coding school fee,Study
design tuition,Study
hu tieu at 7-eleven,Food
new luggage shopping,Shopping
coke at street food,Food
boba tea at the coffee house,Food
bought pen from amazon,Shopping
flight booking to home,Transport
youtube subscription,Others
bought toeic,Study
grab tire change,Transport
taxi parking,Transport
bought keyboard from uniqlo,Shopping
gas bill,Others
newspaper subscription,Others
h&m basic cotton t-shirt,Shopping
movie ticket,Others
bought luggage from nike,Shopping
playstation plus membership,Others
hu tieu at ministop,Food
bought workshop,Study
magazine subscription,Others
bus repair,Transport
billiards ticket,Others
bought shirt from gucci,Shopping
macchiato at convenience store,Food
bought bag from lazada,Shopping
train maintenance,Transport
bought book from supermarket,Shopping
electricity bill,Others
coursera for python,Study
enjoyed ramen snack,Food
bought ring from tiki,Shopping
petrol for airline,Transport
scooter maintenance,Transport
bus maintenance,Transport
ordered sashimi party,Food
be trip trip,Transport
suv trip to office,Transport
tteokbokki at pizza hut,Food
suv wash,Transport
ruler for python,Study
drank pasta party,Food
bought datacamp,Study
class for math,Study
udon at restaurant,Food
airline fare to station,Transport
rice at food court,Food
new suit shopping,Shopping
bought edx,Study
match ticket,Others
motorbike service,Transport
ferry ticket to the island,Transport
airline fare to work,Transport
ate croissant with family,Food
bought gloves from chanel,Shopping
train booking to station,Transport
math photocopy,Study
bought course,Study
diary for art,Study
new necklace shopping,Shopping
bought heels from gucci,Shopping
uber toll,Transport
fresh salmon from market,Food
bought workshop,Study
gojek parking,Transport
ate banh mi meeting,Food
enjoyed burger delivery,Food
bought belt from lazada,Shopping
new socks shopping,Shopping
new tires for the car,Transport
charging for metro,Transport
mai linh maintenance,Transport
office 365 subscription,Others
bike journey to office,Transport
new pants shopping,Shopping
whisky at bistro,Food
paid for croissant for breakfast,Food
uber journey to work,Transport
motorbike ride to home,Transport
fish at lotte,Food
new cap shopping,Shopping
new perfume shopping,Shopping
ate cappuccino takeout,Food
toeic for math,Study
plane rental trip,Transport
yoga subscription,Others
bowling ticket,Others
fuel for motorbike,Transport
new heels shopping,Shopping
ordered fruits for lunch,Food
be repair,Transport
mortgage bill,Others
cleaning fee,Others
phone bill,Others
bought book,Study
new conditioner shopping,Shopping
car rental to home,Transport
mai linh journey to station,Transport
bike booking to station,Transport
fitness subscription,Others
vinasun journey to station,Transport
gas station coffee and fuel,Transport
programming school fee,Study
had bun cha with family,Food
edx for music,Study
cake at family mart,Food
new suitcase shopping,Shopping
be trip to mall,Transport
grab parking,Transport
gojek wash,Transport
bought hoodie from mall,Shopping
car journey to office,Transport
spotify subscription,Others
be ride to work,Transport
new toy shopping,Shopping
airline booking to office,Transport
trash collection fee,Others
ruler for art,Study
ruler for science,Study
enjoyed ice cream date,Food
bought sashimi for dinner,Food
hu tieu at pizza hut,Food
bought novel,Study
show ticket,Others
mortgage bill,Others
car rental for vacation,Transport
bought socks from chanel,Shopping
massage fee,Others
grab oil change,Transport
bought blazer from chanel,Shopping
youtube subscription,Others
museum ticket,Others
gojek tire change,Transport
mechanical pencil and ink,Study
boba milk tea half sugar,Food
art exam fee,Study
bike toll,Transport
bought edx,Study
tempura at jollibee,Food
google drive subscription,Others
bought notebook from shop,Shopping
new ring shopping,Shopping
loan bill,Others
paid for cold brew date,Food
cab toll,Transport
eraser for math,Study
car rental trip,Transport
oil for bus,Transport
enjoyed americano meeting,Food
bought pen,Study
motorbike maintenance,Transport
oil for car,Transport
pasta at ministop,Food
enjoyed hu tieu date,Food
scooter maintenance,Transport
internet bill,Others
new soap shopping,Shopping
python school fee,Study
soju at pizza hut,Food
rent bill,Others
hospital fee,Others
marketing membership,Study
gojek wash,Transport
math subscription,Study
loan bill,Others
ordered udon date,Food
loan bill,Others
mai linh fare to office,Transport
dim sum at the coffee house,Food
insurance bill,Others
book for business,Study
bought earrings from zara,Shopping
train fare to school,Transport
tteokbokki at eatery,Food
drank burger takeout,Food
diesel for sedan,Transport
music membership,Study
bought ielts,Study
bus tire change,Transport
museum ticket,Others
diesel for vinasun,Transport
had donut takeout,Food
bike cleaning,Transport
bus rental to school,Transport
manicure fee,Others
comic for art,Study
drank tteokbokki with family,Food
new shampoo shopping,Shopping
programming subscription,Study
magazine subscription,Others
gas for car,Transport
ielts exam registration fee,Study
donut at ministop,Food
tax bill,Others
kimbap at cafe,Food
petrol for plane,Transport
new phone shopping,Shopping
oil for bike,Transport
diesel for be,Transport
spotify subscription,Others
subway rental to mall,Transport
new shorts shopping,Shopping
suv parking,Transport
new wallet shopping,Shopping
design school fee,Study
enjoyed donut alone,Food
enjoyed seafood party,Food
festival ticket,Others
scooter trip to home,Transport
mortgage bill,Others
diesel for uber,Transport
ate bun cha with friends,Food
fitness subscription,Others
bought calculator,Study
new dress shopping,Shopping
webinar for coding,Study
netflix subscription,Others
vinasun toll,Transport
new tie shopping,Shopping
loan bill,Others
paid for kimbap with friends,Food
art membership,Study
ordered fried chicken date,Food
data science exam fee,Study
google drive subscription,Others
train booking to home,Transport
bought coke for breakfast,Food
marketing exam fee,Study
uber repair,Transport
textbook for python,Study
car maintenance,Transport
drank latte with friends,Food
new glasses shopping,Shopping
bought belt from market,Shopping
notebook for math,Study
bought purse from mall,Shopping
duolingo for english,Study
diesel for plane,Transport
textbook for science,Study
ordered burger with family,Food
art subscription,Study
adobe subscription,Others
bought ruler,Study
pho at restaurant,Food
adobe subscription,Others
airline oil change,Transport
spa fee,Others
bought laptop from adidas,Shopping
python school fee,Study
bought blazer from amazon,Shopping
bought book from mall,Shopping
subway tire change,Transport
bought razor from market,Shopping
workshop for data science,Study
ate vegetables for breakfast,Food
music certification fee,Study
toefl for marketing,Study
bought perfume from lazada,Shopping
gas for be,Transport
bought hoodie from nike,Shopping
internet bill,Others
grab bike,Transport
bought course,Study
design photocopy,Study
bought sunglasses from shopee,Shopping
new monitor shopping,Shopping
bought razor from market,Shopping
taxi service,Transport
business exam fee,Study
bike journey to airport,Transport
bought watch from adidas,Shopping
subway journey to mall,Transport
scooter tire change,Transport
fuel for metro,Transport
banh mi at convenience store,Food
new skirt shopping,Shopping
drank hu tieu date,Food
bought pen,Study
workshop for art,Study
ielts for business,Study
paid for burger meeting,Food
bought edx,Study
bought bracelet from store,Shopping
had whisky for dinner,Food
late night snacks from 7-eleven,Food
new shampoo shopping,Shopping
pharmacy fee,Others
mai linh wash,Transport
new mouse shopping,Shopping
bought pencil,Study
gas for bike,Transport
business subscription,Study
bought blazer from tiki,Shopping
suv booking to home,Transport
enjoyed croissant with family,Food
movie ticket,Others
event ticket,Others
new purse shopping,Shopping
game ticket,Others
ate bagel with friends,Food
new deodorant shopping,Shopping
new lipstick shopping,Shopping
bought smartphone from h&m,Shopping
bought deodorant from chanel,Shopping
meat at subway,Food
bought tablet from tiki,Shopping
bought trousers from mall,Shopping
bill for coke for dinner,Food
bought keyboard from market,Shopping
new tablet shopping,Shopping
icloud subscription,Others
paid for macchiato delivery,Food
workshop for english,Study
journal for programming,Study
had eggs for breakfast,Food
park ticket,Others
bought webinar,Study
bought vest from nike,Shopping
bought webinar,Study
bought datacamp,Study
new trousers shopping,Shopping
new boots shopping,Shopping
toeic for design,Study
new soap shopping,Shopping
water bill payment,Others
cookie at family mart,Food
bought speaker from nike,Shopping
drank vodka meeting,Food
maintenance fee,Others
hospital fee,Others
scooter maintenance,Transport
programming subscription,Study
new flower shopping,Shopping
gas for gojek,Transport
avocado toast for breakfast,Food
bought purse from nike,Shopping
bought case from zara,Shopping
textbook for data science,Study
bought lesson,Study
marketing certification fee,Study
ielts for english,Study
art certification fee,Study
bought t-shirt from h&m,Shopping
apple music subscription,Others
bill for bun bo hue date,Food
bought conditioner from shop,Shopping
new toy shopping,Shopping
art photocopy,Study
netflix 4k subscription,Others
monthly library membership,Study
manicure fee,Others
paid for ice cream with family,Food
new belt shopping,Shopping
google drive subscription,Others
subway footlong sandwich lunch,Food
ramen at bistro,Food
grab ticket to station,Transport
vodka at 7-eleven,Food
buy a new shirt,Shopping
ice cream at diner,Food
new phone shopping,Shopping
maintenance fee,Others
google drive subscription,Others
fitness subscription,Others
bun bo hue at jollibee,Food
bought macchiato takeout,Food
sedan ticket to school,Transport
airline service,Transport
bought pen from h&m,Shopping
bike booking to mall,Transport
taxi booking to station,Transport
bagel at the coffee house,Food
sunglasses from ray-ban,Shopping
bill for fruits for dinner,Food
uber service,Transport
oil change service,Transport
bought skirt from zara,Shopping
bus oil change,Transport
theater ticket,Others
petrol for subway,Transport
wine at starbucks,Food
train parking,Transport
new dress shopping,Shopping
marketing exam fee,Study
rice at lotte,Food
magazine for business,Study
python exam fee,Study
new conditioner shopping,Shopping
metro wash,Transport
bowling ticket,Others
new coat shopping,Shopping
design printing,Study
rent bill,Others
ate fruit tea meeting,Food
bill for rice for dinner,Food
paid for eggs alone,Food
taxi fare after party,Transport
paid for croissant takeout,Food
new tablet shopping,Shopping
bought marker,Study
bought dress from gucci,Shopping
bought keyboard from shopee,Shopping
noodles at food court,Food
taxi cleaning,Transport
fuel for airline,Transport
diary for english,Study
cleaning fee,Others
gas bill,Others
fried chicken at eatery,Food
class for science,Study
had burger with friends,Food
storage unit monthly rent,Others
bought class,Study
spotify subscription,Others
salon fee,Others
office 365 subscription,Others
bought journal,Study
ielts for coding,Study
suv wash,Transport
new gloves shopping,Shopping
billiards ticket,Others
ordered americano snack,Food
mai linh ride to work,Transport
pharmacy fee,Others
park ticket,Others
bought datacamp,Study
donut at restaurant,Food
diesel for gojek,Transport
mai linh ticket to work,Transport
coursera data science cert,Study
bus trip to home,Transport
yoga subscription,Others
marker for coding,Study
charging for mai linh,Transport
planner for programming,Study
banh cuon at 7-eleven,Food
ate juice alone,Food
theater ticket,Others
donated to animal shelter,Others
sedan booking to work,Transport
ordered pho for dinner,Food
sedan ride trip,Transport
bought sneakers from shop,Shopping
subway fare to airport,Transport
doctor fee,Others
seafood at bistro,Food
edx for art,Study
water bill,Others
metro oil change,Transport
adobe subscription,Others
taxi trip to downtown,Transport
train trip to airport,Transport
new beanie shopping,Shopping
new headphones shopping,Shopping
workshop for music,Study
bought textbook,Study
english membership,Study
marketing test fee,Study
journal for programming,Study
pasta at family mart,Food
bought heels from uniqlo,Shopping
water bill,Others
muffin at bistro,Food
new dress shopping,Shopping
gas bill,Others
bought udemy,Study
car fare to school,Transport
new keyboard shopping,Shopping
sashimi at gong cha,Food
ordered seafood for breakfast,Food
bought keyboard from lazada,Shopping
be booking to home,Transport
enjoyed tteokbokki for dinner,Food
subway booking to station,Transport
textbook for data science,Study
ate coke with family,Food
gojek booking to station,Transport
youtube subscription,Others
bought speaker from gucci,Shopping
bought sneakers from store,Shopping
planner for data science,Study
enjoyed vegetables takeout,Food
scooter service,Transport
office 365 subscription,Others
oil for bike,Transport
coding tuition,Study
museum ticket,Others
grab trip to school,Transport
motorbike maintenance,Transport
subway fare to airport,Transport
laundry fee,Others
loan bill,Others
hospital fee,Others
enjoyed fried chicken with family,Food
metro ride to school,Transport
netflix subscription,Others
bought belt from amazon,Shopping
suv booking trip,Transport
beer at gong cha,Food
bought cologne from nike,Shopping
business membership,Study
metro wash,Transport
programming printing,Study
python membership,Study
cable bill,Others
cinema ticket,Others
bought course,Study
gas for cab,Transport
fried chicken at jollibee,Food
water bill,Others
had vegetables meeting,Food
espresso at lotte,Food
sedan wash,Transport
design membership,Study
ate milk tea date,Food
bill for sushi with friends,Food
theme park day pass,Others
plane journey to downtown,Transport
bill for sushi date,Food
webinar for science,Study
drank bun cha party,Food
fuel for suv,Transport
ordered fish meeting,Food
movie ticket,Others
gas bill,Others
paid for vodka delivery,Food
manicure fee,Others
grab wash,Transport
grab ride to downtown,Transport
mortgage bill,Others
train journey to office,Transport
movie ticket at imax,Others
enjoyed coke takeout,Food
manicure fee,Others
new shampoo shopping,Shopping
be journey trip,Transport
meat at 7-eleven,Food
math certification fee,Study
newspaper subscription,Others
toeic for design,Study
donut at food court,Food
airline service,Transport
bike journey to station,Transport
gas for bike,Transport
steak at convenience store,Food
bought gloves from store,Shopping
ruler for marketing,Study
had soda meeting,Food
grab rental to home,Transport
bought coat from mall,Shopping
design exam fee,Study
gojek trip to station,Transport
bought highlighter,Study
enjoyed smoothie with friends,Food
bought webinar,Study
game ticket,Others
massage fee,Others
bought novel,Study
cab journey to mall,Transport
petrol for be,Transport
bought notebook from shop,Shopping
bought power bank from zara,Shopping
metro parking,Transport
train service,Transport
enjoyed ice cream meeting,Food
charging for scooter,Transport
be rental to downtown,Transport
drank wine meeting,Food
programming photocopy,Study
pen for python,Study
event ticket,Others
bought class,Study
internet bill,Others
new gift shopping,Shopping
bought jeans from shop,Shopping
new shoes shopping,Shopping
bought beer with family,Food
netflix subscription,Others
english subscription,Study
planner for programming,Study
bought socks from lazada,Shopping
mortgage bill,Others
vinasun ride to office,Transport
bought laptop from zara,Shopping
diary for business,Study
new blazer shopping,Shopping
bought hat from adidas,Shopping
gym subscription,Others
bought smartphone from store,Shopping
bought case from zara,Shopping
spa fee,Others
noodles at mcdonalds,Food
bought edx,Study
gas bill,Others
dictionary for science,Study
class for math,Study
python school fee,Study
flight repair,Transport
tax bill,Others
bought boots from amazon,Shopping
dumplings at restaurant,Food
new shirt shopping,Shopping
drank sushi for breakfast,Food
journal for art,Study
burger at jollibee,Food
be journey to work,Transport
bought highlighter,Study
bought hoodie from shopee,Shopping
coding exam fee,Study
fuel for flight,Transport
metro wash,Transport
english certification fee,Study
design printing,Study
phone bill,Others
coursera for design,Study
suv trip to downtown,Transport
fuel for car,Transport
course for python,Study
bought dress from zara,Shopping
airline wash,Transport
insurance bill,Others
hospital fee,Others
bike parking,Transport
bought toy from gucci,Shopping
math membership,Study
macchiato at cafe,Food
bun bo hue at burger king,Food
uber fare to office,Transport
adobe subscription,Others
seminar for coding,Study
bike maintenance,Transport
bought belt from shopee,Shopping
yoga subscription,Others
bought bag from chanel,Shopping
ordered whisky alone,Food
ice cream at kfc,Food
cappuccino at circle k,Food
eraser for science,Study
comic for coding,Study
bought ielts,Study
vinasun oil change,Transport
be fare to work,Transport
doctor fee,Others
planner for python,Study
drank udon meeting,Food
mai linh maintenance,Transport
bill for rice for dinner,Food
pho at street food,Food
seminar for english,Study
bought beanie from amazon,Shopping
tax bill,Others
planner for math,Study
